frequency,callsign,state,city,erp,lat,lon,hagl,class,slogan,owner,country,new_format,mlb,nfl,nba,nhl,market,population
102.7,WEBN,OH,CINCINNATI,16.0,39.11644444444445,-84.50188888888889,247.0,B,,iHeartMedia,USA,Rock,,Bengals,,,Cincinnati,"1,894,500"
95.9,WEFM,IN,MICHIGAN CITY,3.0,41.71613888888889,-86.86308333333332,91.0,A,WE-FM,"MICHIGAN CITY FM BROADCASTERS, INC.",USA,Adult Contemporary,White Sox,Colts,,,,
107.3,WEGH,PA,NORTHUMBERLAND,0.9,40.78619444444444,-76.69661111111111,90.0,A,THE CLASSIC HITS STATION,SUNBURY BROADCASTING CORPORATION,USA,Classic Hits,Phillies,Eagles,,,Sunbury-Selinsgrove-Lewisburg,"170,900"
107.5,WEGW,WV,WHEELING,16.0,40.06147222222222,-80.75230555555555,195.0,B,EAGLE 107.5,iHeartMedia,USA,Rock,,Steelers,,Penguins,Wheeling,"120,000"
97.3,WENJ,NJ,MILLVILLE,50.0,39.320638888888894,-74.77116666666666,144.0,B,97.3 ESPN SOUTH JERSEY,"Townsquare License, LLC",USA,Sports,,Eagles,76ers,,Atlantic City-Cape May,"321,300"
106.3,WEVR-FM,WI,RIVER FALLS,6.0,44.88858333333333,-92.65075,94.0,A,"YOUR HOMETOWN STATION, VOICE OF THE FRIENDLY VALLEY","HANTEN BROADCASTING COMPANY, INC.",USA,Soft AC,Brewers,Packers,,,Minneapolis-Saint Paul,
101.9,WFAN-FM,NY,NEW YORK,6.0,40.748444444444445,-73.98569444444445,413.0,B,THE FAN,"Audacy License, LLC",USA,Sports,Yankees,NYGiants,,,New York,"16,662,000"
100.7,WFLA-FM,FL,MIDWAY,11.5,30.492416666666667,-84.28683333333333,111.0,C3,100.7 FM WFLA,iHeartMedia,USA,News,,Jaguars,,,Tallahassee,"291,500"
106.3,WFNQ,NH,NASHUA,6.0,42.82675,-71.50227777777778,40.0,A,106.3 FRANK FM,"WBIN MEDIA CO., INC.",USA,Classic Hits,,Patriots,,,Boston,"4,463,500"
107.1,WFON,WI,FOND DU LAC,6.0,43.83888888888889,-88.369,90.0,A,THE BULL,"RBH ENTERPRISES, INC.",USA,Country,,Packers,,,,
99.3,WFQX,VA,FRONT ROYAL,6.0,39.06563888888888,-78.3825,49.0,A,THE FOX,iHeartMedia,USA,Rock,,Commanders,,,Winchester,"190,800"
92.5,WFSX-FM,FL,ESTERO,20.5,26.31727777777778,-81.78669444444444,208.0,C2,92.5 FOX NEWS,"SUN BROADCASTING, INC.",USA,News,,Dolphins,,,Ft. Myers-Naples,"1,063,600"
98.1,WGFN,MI,GLEN ARBOR,21.0,44.821111111111115,-85.99647222222222,116.0,C2,THE BEAR 98.1 & 95.3,"BLACK DIAMOND BROADCAST HOLDINGS, LLC",USA,Classic Rock,,Lions,,,Traverse City-Petoskey-Cadillac,"238,300"
104.5,WGFX,TN,GALLATIN,58.0,36.26811111111111,-86.79583333333333,320.0,C1,104.5 THE ZONE,Cumulus Media,USA,Sports,,Titans,,,Nashville,"1,563,200"
92.1,WGHN-FM,MI,GRAND HAVEN,6.0,43.06861111111112,-86.14222222222223,52.0,A,92.1 WGHN,"WGHN, INC.",USA,Adult Contemporary,,Lions,,,Grand Rapids,"822,900"
97.1,WGLQ,MI,ESCANABA,100.0,46.134388888888886,-86.94791666666667,326.0,C0,GLQ 97.1 FM,"AMC PARTNERS ESCANABA, LLC",USA,Contemporary Hit Radio,,Packers,,,,
97.7,WGLR-FM,WI,LANCASTER,11.5,42.86333333333334,-90.70319444444443,101.0,C3,97.7 COUNTRY WGLR,"QUEENB RADIO WISCONSIN, INC.",USA,Country,,Packers,,,,
92.7,WGMD,DE,REHOBOTH BEACH,2.6,38.70411111111111,-75.19980555555556,128.0,A,THE TALK OF DELMARVA,Datatech Digital LLC,USA,Talk,Orioles,Ravens,,,Salisbury-Ocean City,"383,200"
99.9,WGNE-FM,FL,MIDDLEBURG,48.0,30.323027777777774,-81.64258333333333,303.0,C1,99.9 GATOR COUNTRY,RENDA BROADCASTING CORP. OF NEVADA,USA,Country,,Jaguars,,,Jacksonville,"1,376,900"
102.3,WGOW-FM,TN,SODDY-DAISY,6.0,35.19588888888889,-85.22911111111111,129.0,A,TALK RADIO 102.3,Cumulus Media,USA,Talk,,Titans,,,Chattanooga,"621,200"
95.9,WGRQ,VA,FAIRVIEW BEACH,2.5,38.272638888888885,-77.49580555555556,143.3,A,95.9,"TELEMEDIA BROADCASTING, INC.",USA,Oldies,,Commanders,,,Fredericksburg,"366,200"
99.9,WHAK-FM,MI,ROGERS CITY,50.0,45.39805555555556,-83.92194444444445,78.0,C2,THE WAVE,Edwards Communications LC,USA,Oldies,Tigers,Lions,,,,
94.1,WHBC-FM,OH,CANTON,45.0,40.89811111111111,-81.31841666666666,166.0,B,MIX 94.1,ALPHA MEDIA LICENSEE LLC,USA,Hot AC,,Browns,,,Canton,"344,600"
